fold,store_id,sku_id,model,mae,mape
20241209_20241216,S01,SKU001,naive,12.75,9.95087568200372
20241209_20241216,S01,SKU001,seasonal_naive,12.75,9.95087568200372
20241209_20241216,S01,SKU001,sarimax,12.75,9.95087568200372
20241209_20241216,S01,SKU001,lgbm,7.189060766272188,6.046655101425059
20241209_20241216,S01,SKU002,naive,18.25,6.302677702960588
20241209_20241216,S01,SKU002,seasonal_naive,18.25,6.302677702960588
20241209_20241216,S01,SKU002,sarimax,18.25,6.302677702960588
20241209_20241216,S01,SKU002,lgbm,12.967902503142838,4.5029357940804395
20241209_20241216,S01,SKU003,naive,13.25,3.84962793192897
20241209_20241216,S01,SKU003,seasonal_naive,13.25,3.84962793192897
20241209_20241216,S01,SKU003,sarimax,13.25,3.84962793192897
20241209_20241216,S01,SKU003,lgbm,18.648990883031473,5.593521993994611
20241209_20241216,S01,SKU004,naive,17.75,8.978184591731711
20241209_20241216,S01,SKU004,seasonal_naive,17.75,8.978184591731711
20241209_20241216,S01,SKU004,sarimax,17.75,8.978184591731711
20241209_20241216,S01,SKU004,lgbm,27.445831817985116,14.126017229690119
20241209_20241216,S01,SKU005,naive,16.5,5.637940466838739
20241209_20241216,S01,SKU005,seasonal_naive,16.5,5.637940466838739
20241209_20241216,S01,SKU005,sarimax,16.5,5.637940466838739
20241209_20241216,S01,SKU005,lgbm,12.804576354293388,4.484548781668668
20241209_20241216,S02,SKU001,naive,17.25,8.20706428769879
20241209_20241216,S02,SKU001,seasonal_naive,17.25,8.20706428769879
20241209_20241216,S02,SKU001,sarimax,17.25,8.20706428769879
20241209_20241216,S02,SKU001,lgbm,13.37653263620733,7.033671413667037
20241209_20241216,S02,SKU002,naive,27.25,10.816549243515535
20241209_20241216,S02,SKU002,seasonal_naive,27.25,10.816549243515535
20241209_20241216,S02,SKU002,sarimax,27.25,10.816549243515535
20241209_20241216,S02,SKU002,lgbm,40.63944640140232,17.667982295898348
20241209_20241216,S02,SKU003,naive,35.75,16.273610533384566
20241209_20241216,S02,SKU003,seasonal_naive,35.75,16.273610533384566
20241209_20241216,S02,SKU003,sarimax,35.75,16.273610533384566
20241209_20241216,S02,SKU003,lgbm,39.770554352907574,19.530283095302693
20241209_20241216,S02,SKU004,naive,14.5,6.723210964000326
20241209_20241216,S02,SKU004,seasonal_naive,14.5,6.723210964000326
20241209_20241216,S02,SKU004,sarimax,14.5,6.723210964000326
20241209_20241216,S02,SKU004,lgbm,18.665869904888062,9.155923294352984
20241209_20241216,S02,SKU005,naive,24.5,7.909078704828737
20241209_20241216,S02,SKU005,seasonal_naive,24.5,7.909078704828737
20241209_20241216,S02,SKU005,sarimax,24.5,7.909078704828737
20241209_20241216,S02,SKU005,lgbm,33.842591957056854,11.67910491089155
20241209_20241216,S03,SKU001,naive,31.0,15.637167025203839
20241209_20241216,S03,SKU001,seasonal_naive,31.0,15.637167025203839
20241209_20241216,S03,SKU001,sarimax,31.0,15.637167025203839
20241209_20241216,S03,SKU001,lgbm,28.533370623670727,14.559701895817174
20241209_20241216,S03,SKU002,naive,14.75,8.716951209401598
20241209_20241216,S03,SKU002,seasonal_naive,14.75,8.716951209401598
20241209_20241216,S03,SKU002,sarimax,14.75,8.716951209401598
20241209_20241216,S03,SKU002,lgbm,26.540863817092017,16.89374074893654
20241209_20241216,S03,SKU003,naive,18.5,5.661812462845949
20241209_20241216,S03,SKU003,seasonal_naive,18.5,5.661812462845949
20241209_20241216,S03,SKU003,sarimax,18.5,5.661812462845949
20241209_20241216,S03,SKU003,lgbm,25.753621174211773,8.057489318866216
20241209_20241216,S03,SKU004,naive,20.0,5.999677868627247
20241209_20241216,S03,SKU004,seasonal_naive,20.0,5.999677868627247
20241209_20241216,S03,SKU004,sarimax,20.0,5.999677868627247
